TITLE_ID,TITLE,AUTHOR,BOOK_NO,TIMES_RENTED,ISBN,Category ,Price,Pub Year,Pages,Format
368521,Bounce with Me! and Other Stories,Catherine Hapka,B0973248,9,978-8128636394,Kids,160,2013,96,Paperback
357898,Tom Gates is Absolutely Fantastic (At Some Things) (English)        (Paperback),L. Pichon  									,B0972767,9,#N/A,Pre Teen,,,,
384120,Aval oru aacharyakuri,Rajesh Kumar,B0973891,9,#N/A,Regional,,,,
187529,TINTIN THE SEVEN CRYSTAL BALLS,Herge,B0971431,9,R9781405206242,Comics,,,,
363484,Shikari Shambu - The Wild Card,Rajani Thindiath  									,B0972030,8,R9789350857458,Comics,,,,
358513,Sita's Sister (English),Kavita Kane  									,B0972080,8,#N/A,Indian Writing,,,,
368954,Peppa Goes on Holiday,Rebecca Gerlings,B0970517,8,R9780723297819,Kids,,,,
384023,Ragasiyamaga oru Ragasiyam,Indra Soundarrajan,B0973857,8,#N/A,Regional,,,,
368563,Mrs Funnybones,Twinkle Khanna,B0971054,8,R9780143424468,Indian Writing,,,,
187535,TINTIN CIGARS OF THE PARAOH,Herge,B0971442,8,R9781405206150,Comics,,,,
187532,TINTIN THE CASTAFIORE EMERALD,Herge,B0971446,8,R9781405206327,Comics,,,,
353951,Harry Potter and the Order of the Phoenix,J K Rowling,B0972733,8,978-1408855690,Teen,,,,
271459,Vol 59 talking teddy,Raj Viswanadha,B0972934,8,#N/A,Kids,,,,
271458,Vol 60 sea world,Raj Viswanadha,B0972933,8,#N/A,Kids,,,,
364860,sivagamiyin sabatham vol 1&2,Kalki Krishnamurthy,B0973848,8,#N/A,Regional,,,,
353489,Myth = Mithya : A Handbook of Hindu Mythology (English),Devdutt Pattanaik,B0971024,8,978-0143099703,Spritual,,,,
344000,The Witches,Roald Dahl,B0972865,8,R9780141346410,Pre Teen,,,,
362101,Grandma's Bag of Stories,Sudha Murty,B0971728,8,978-0143333623,Indian Writing,,,,
194380,Gb Horrorland#03 Monster Blood For Breakfast,R L Stine,B0972844,8,978-1472381941,Pre Teen,,,,
271385,PERCY JACKSON : THE DEMIGOD FILES - (FILM TIE IN),Riordan Rick,B0971330,8,#N/A,Teen,,,,
187019,4. ASTERIX THE GLADIATOR,"Goscinny, Rene & Uderzo, Albert",B0972789,8,R9780752866116,Comics,,,,
186982,1. ASTERIX THE GAUL,"Goscinny, Rene & Uderzo, Albert",B0972786,8,R9780752866055,Comics,,,,
383821,MUDAL SAKTHI,Indira Soundarrajan,B0973588,8,978-9386606426,Regional,,,,
384941,Thulli Varugudhu Vel,Indra Soundarrajan,B0975855,8,#N/A,Regional,,,,
302487,Parthipan Kanavu,Kalki,B0973763,8,#N/A,Regional,,,,
383360,Classic retold tom sawyer,Unknown,B0972879,8,R9780746088654,Classic,,,,
361745,151 Ghost Stories,Unknown,B0973000,8,#N/A,Kids,,,,
345015,Ultimate Spider - Man Great Power,Unknown,B0971682,8,R9789351031109,Kids,,,,
204421,DISNEY FAIRIES CLASSIC STORY BOOK COLLECTION - 9781741925180,Unknown,B0973163,8,#N/A,Kids,,,,
52493,Yarentru Mattum Sollathe,Indra Soundarrajan,B0973603,8,#N/A,Regional,,,,
51495,Rudra Veenai - Part II,Indra Soundarrajan,B0973772,8,#N/A,Regional,,,,
383503,INSURGENT,Veronica Roth,B0972142,8,R9780008167912,Teen,,,,
352861,Drama at Mouseford (English),Thea Stilton,B0973017,8,R9789351033103,Pre Teen,,,,
352796,Upper Fourth at Malory Towers (English),Enid Blyton,B0972624,8,R9781405270144,Pre Teen,,,,
188674,THE MAGICIAN'S NEPHEW B FORMAT,"Lewis, C S",B0973460,8,978-8129141842,Teen,,,,
334550,House Of Cards,Sudha Murthy,B0971738,8,R9780143420361,Indian Writing,,,,
204239,Sherlock Holmes: The Complete Novels and Stories Volume I,"Doyle, Sir Arthur Conan",B0973032,8,#N/A,Teen,,,,
290254,The Magic,Rhonda Byrne,B0973840,7,#N/A,Spritual,,,,
191638,Jaya : An Illustrated Retelling Of The Mahabharata,"Pattanaik, Devdutt",B0971686,7,978-8171854301,Spritual,,,,
202896,Kane Chronicles : The Red Pyramid,"Riordan, Rick",B0971287,7,R9780141325507,Teen,,,,
