TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Categoryï¿½,ISBN
358906,India 2020 : A Vision for the New Millennium,"A. P. J. Abdul Kalam  ,  Y. S. Rajan ",English,B0971084,2,Self Help,978-8120042254
358906,India 2020 : A Vision for the New Millennium,"A. P. J. Abdul Kalam  ,  Y. S. Rajan ",English,B0981512,2,Self Help,978-8120042254
347935,A Manifesto for Change,A.P.J. Abdul Kalam,English,B0972856,0,Autobiography,978-9351361725
358905,Ignited Minds : Unleashing the Power within India (English)        (Paperback),A.P.J. Abdul Kalam,English,B0981511,2,Self Help,978-4550069960
402452,Learning How to Fly: Life Lessons for the Youth,A.P.J. Abdul Kalam,English,B0996041,2,Self Help,#N/A
372366,My India: Notes for the Future,A.P.J. Abdul Kalam,English,B0970665,1,Autobiography,978-0143333531
370438,My Life,A.P.J. Abdul Kalam,English,B0972093,3,Autobiography,#N/A
306249,Turning Points: A Journey Through Challenges,A.P.J. Abdul Kalam,English,B0972860,4,Self Help,978-9350293478
275899,Chicken Soup for the Indian Soul : Teens Talk Growing Up,Aarti Katoch Pathak,English,B01085683,0,Self Help,978-8126708628
275899,Chicken Soup for the Indian Soul : Teens Talk Growing Up,Aarti Katoch Pathak,English,B01085682,1,Self Help,978-8126708628
385222,An Heir to Make a Marriage (M&B June'16)Modern,Abby Green,English,B0976889,1,Romance,978-1444763515
370435,Advantage India : From Challenge to Opportunity,Abdul Kalam A.P.J and Srijanpal Singh,English,B0972859,1,Self Help,978-8179921623
241084,Wings Of Fire: An Autobiography Of APJ Abdul Kalam,Abdul Kalam With Arun Tiwari,English,B0971290,2,Autobiography,978-8173711466
241084,Wings Of Fire: An Autobiography Of APJ Abdul Kalam,Abdul Kalam With Arun Tiwari,English,B0981641,4,Autobiography,978-8173711466
295248,"The Diary of Amos Lee: I'm Twelve, I'm Tough, I Tweet! (Book 3)","Adeline Foo, Stephanie Wong",English,B0977662,1,Pre Teen,#N/A
372602,How to Memorize anything,Adithi Singhal,English,B0972888,5,Health & Fitness,978-0143427520
341060,The Siege: The Attack on the Taj,Adrian Levy and Cathy Scott Clark,English,B01085582,0,Kids,#N/A
360448,Stuart Little,Ae. B. White ,English,B0973300,1,Pre Teen,978-0195622577
360526,Aesop's Fables (English),Aesop Marcus Sedgwick ,English,B0972901,1,Kids,978-0606316972
348884,AESOPS FABLES THE ANT & THE GRASSHOPPER & OTHER STORIES,Aesops Fables,English,B0970590,1,Kids,978-8131908945
348886,AESOPS FABLES THE HARE & THE TORTOISE & OTHER STORIES,Aesops Fables,English,B0970560,2,Kids,978-0747536505
348883,AESOPS FABLES THE MILKMAID & HER PAIL & OTHER STORIES,Aesops Fables,English,B0970564,0,Kids,978-1474800624
188975,AC - AND THEN THERE WERE NONE,Agatha Christie,English,B0970366,3,Fiction,978-0008196349
188988,AC - DEATH ON THE NILE,Agatha Christie,English,B0973392,5,Fiction,#N/A
188999,AC - HOUND OF DEATH,Agatha Christie,English,B0973371,4,Fiction,979-8172236297
189001,AC - LISTERDALE MYSTERY,Agatha Christie,English,B0973382,1,Fiction,#N/A
189010,AC - MURDER IN THE MEWS,Agatha Christie,English,B0973400,2,Fiction,#N/A
189015,AC - MURDER ON ORIENT EXPRESS,Agatha Christie,English,B0970370,8,Fiction,#N/A
189019,AC - NEMESIS,Agatha Christie,English,B0970364,1,Fiction,#N/A
189022,AC - PALE HORSE,Agatha Christie,English,B0973402,1,Fiction,#N/A
189023,AC - PARKER PYNE INVESTIGATES,Agatha Christie,English,B0973266,4,Fiction,#N/A
189026,AC - PERIL AT END HOUSE,Agatha Christie,English,B0970357,3,Fiction,978-0007493487
189028,AC - POIROT INVESTIGATES,Agatha Christie,English,B0973373,4,Fiction,#N/A
189031,AC - SAD CYPRESS,Agatha Christie,English,B0973401,5,Fiction,#N/A
189049,AC-CARDS ON THE TABLE,Agatha Christie,English,B0973372,3,Fiction,978-0008164898
189053,AC-HICKORY DICKORY DOCK,Agatha Christie,English,B0970367,4,Fiction,#N/A
188572,AC-THE UNEXPECTED GUEST,Agatha Christie,English,B0973374,8,Fiction,978-0008196677
188987,DEATH IN THE CLOUDS,Agatha Christie,English,B0970356,5,Fiction,978-0007451609
188990,DUMB WITNESS,Agatha Christie,English,B0973370,3,Fiction,#N/A
333854,IIMA Strategies for the Future: Understanding International Business,Ajeet N. Mathur,English,B0970393,0,Management,978-1947200081
187710,FIVE PEOPLE YOU MEET IN HEAVEN,"Albom,Mitch",English,B0971463,1,Fiction,978-0751536140
187716,FOR ONE MORE DAY,"Albom,Mitch",English,B0973047,0,Fiction,#N/A
188312,TUESDAYS WITH MORRIE,"Albom,Mitch",English,B0971472,1,Fiction,978-0822221883
342277,Empire of the Moghul : The Serpent's Tooth,Alex Rutherford,English,B0970555,1,Teen,978-1472238580
304375,Empire of the Moghul: Ruler of the World,Alex Rutherford,English,B0970546,3,Teen,978-0755392278
328508,Empire Of The Moghul: The Tainted Throne,Alex Rutherford,English,B0970547,1,Teen,978-1472204325
382820,Traitors in the Shadows,Alex Rutherford,English,B0970527,1,Teen,978-1472238580
343980,City of Shadows,Alex Scarrow,English,B0970466,1,Teen,978-0141337074
